#URL,Start,End,Total,Fetch URL,Make Qry,Add Readings,Commit,Sync State
dang@127.0.0.1,1335271674.72,1335271677.68,2.95835089684,0.00136494636536,1.07345199585,1.63735604286,2.77570199966,2.95835089684
dang@127.0.0.1,1335271677.68,1335271680.53,2.85036706924,0.00113701820374,1.08148002625,1.65140295029,2.74263811111,2.85036706924
dang@127.0.0.1,1335271682.15,1335271685.01,2.86044692993,0.000949859619141,1.09537005424,1.6472299099,2.7441740036,2.86044692993
dang@127.0.0.1,1335271685.02,1335271687.9,2.88424897194,0.00114488601685,1.08085608482,1.64622592926,2.77643299103,2.88424897194
dang@127.0.0.1,1335271687.9,1335271690.71,2.81040096283,0.00113010406494,1.07581806183,1.6488571167,2.71046710014,2.81040096283
dang@127.0.0.1,1335271690.71,1335271693.59,2.87680888176,0.00143790245056,1.07421684265,1.7313349247,2.77752184868,2.87680888176
dang@127.0.0.1,1335271694.9,1335271697.75,2.84198999405,0.0014021396637,1.12016606331,1.69515395164,2.73445606232,2.84198999405
dang@127.0.0.1,1335271697.75,1335271700.65,2.90237092972,0.0011351108551,1.06789898872,1.62734699249,2.79458713531,2.90237092972
dang@127.0.0.1,1335271700.65,1335271703.45,2.80219006538,0.00124001502991,1.06665587425,1.63721084595,2.71087002754,2.80219006538
dang@127.0.0.1,1335271703.45,1335271706.25,2.80180215836,0.00115013122559,1.06684398651,1.62850904465,2.71055698395,2.80180215836
dang@127.0.0.1,1335271707.66,1335271710.45,2.79124808311,0.00101208686829,1.09861898422,1.67206215858,2.69211316109,2.79124808311
dang@127.0.0.1,1335271710.45,1335271713.37,2.91483402252,0.0011260509491,1.03344416618,1.62656998634,2.78656601906,2.91483402252
dang@127.0.0.1,1335271713.37,1335271716.12,2.75496411324,0.00107407569885,1.03215694427,1.60352492332,2.66405296326,2.75496411324
dang@127.0.0.1,1335271716.13,1335271718.91,2.78555011749,0.00120401382446,1.06783509254,1.6464099884,2.67752718925,2.78555011749
dang@127.0.0.1,1335271720.47,1335271723.31,2.83846402168,0.00108599662781,1.08100008965,1.64062905312,2.72245597839,2.83846402168
dang@127.0.0.1,1335271723.31,1335271726.21,2.89399504662,0.00114321708679,1.11585211754,1.68449902534,2.78617811203,2.89399504662
dang@127.0.0.1,1335271726.21,1335271729.05,2.8421061039,0.00152897834778,1.05017209053,1.60376501083,2.72575998306,2.8421061039
dang@127.0.0.1,1335271729.05,1335271732.05,3.00211787224,0.00118803977966,1.01260590553,1.58567404747,2.87767505646,3.00211787224
dang@127.0.0.1,1335271733.79,1335271736.6,2.81148982048,0.000893831253052,1.04890990257,1.65006995201,2.70377492905,2.81148982048
dang@127.0.0.1,1335271736.6,1335271739.38,2.78461313248,0.00114417076111,1.00333499908,1.56835699081,2.67667102814,2.78461313248
dang@127.0.0.1,1335271739.38,1335271742.17,2.78461384773,0.00129294395447,1.03139591217,1.61087799072,2.65139198303,2.78461384773
dang@127.0.0.1,1335271742.17,1335271744.98,2.81064510345,0.00114917755127,0.991538047791,1.55394005775,2.71123719215,2.81064510345
dang@127.0.0.1,1335271746.6,1335271749.4,2.79737997055,0.000926971435547,1.06547188759,1.64495396614,2.68134880066,2.79737997055
dang@127.0.0.1,1335271749.4,1335271752.21,2.80917906761,0.00138092041016,1.00491786003,1.56632304192,2.69304394722,2.80917906761
dang@127.0.0.1,1335271752.21,1335271754.92,2.71837902069,0.00110483169556,0.986147880554,1.55456185341,2.59394097328,2.71837902069
dang@127.0.0.1,1335271754.92,1335271757.86,2.93480205536,0.00113296508789,1.09134101868,1.64318299294,2.82691192627,2.93480205536
#URL,Start,End,Total,Fetch URL,Make Qry,Add Readings,Commit,Sync State
dang@127.0.0.1,1335271917.77,1335271935.38,17.6017868519,0.00102591514587,0.742619037628,7.01056003571,17.3031949997,17.6017868519
dang@127.0.0.1,1335271935.38,1335271952.83,17.4510061741,0.00109505653381,1.17224907875,7.43379616737,17.2187321186,17.4510061741
dang@127.0.0.1,1335271952.83,1335271970.86,18.0347278118,0.0012788772583,1.17325592041,7.31674599648,17.6931958199,18.0347278118
dang@127.0.0.1,1335271970.86,1335271988.62,17.7612879276,0.00109386444092,1.24681901932,7.64035797119,17.4210088253,17.7612879276
dang@127.0.0.1,1335271990.67,1335272008.49,17.8144350052,0.000839948654175,1.09210014343,7.42063498497,17.432322979,17.8144350052
dang@127.0.0.1,1335272008.49,1335272026.45,17.961908102,0.0010781288147,1.29311203957,7.49485301971,17.5301160812,17.961908102
dang@127.0.0.1,1335272026.45,1335272044.27,17.8161151409,0.00144410133362,0.882891178131,6.99861717224,17.4010140896,17.8161151409
dang@127.0.0.1,1335272044.27,1335272062.11,17.8379042149,0.00108504295349,0.786925077438,7.14736509323,17.4310212135,17.8379042149
dang@127.0.0.1,1335272063.42,1335272081.06,17.6324841976,0.000908136367798,0.875548124313,7.13756799698,17.2333641052,17.6324841976
dang@127.0.0.1,1335272081.06,1335272098.32,17.269233942,0.00106692314148,0.713792085648,7.07892894745,16.9541790485,17.269233942
dang@127.0.0.1,1335272098.32,1335272116.47,18.1478340626,0.00109696388245,0.680882930756,6.99739193916,17.6907880306,18.1478340626
dang@127.0.0.1,1335272116.47,1335272133.73,17.2523469925,0.0015811920166,0.361186027527,6.78751802444,16.8616111279,17.2523469925
dang@127.0.0.1,1335272135.52,1335272145.88,10.3649230003,0.00111103057861,0.0491590499878,3.77989697456,10.1661760807,10.3649230003
