time,x,xhat,dx
1317142022,986.476,899.917587701,2.46472109622
1317142921,661.293,890.327843358,1.86199782422
1317143220,1875.11,941.335849123,4.31929822127
1317143522,660.794,931.412089977,3.60714535291
1317143821,616.837,919.110123563,2.81168976458
1317144422,1678.3,959.740722662,4.70263523126
1317144722,1750.73,1003.75769,6.66835183653
1317145021,1430.04,1031.40673974,7.71738673194
1317145321,760.696,1025.20272015,7.02131641576
1317145623,539.413,1007.58348474,5.78928882434
1317145923,1191.77,1022.29263488,6.23528189043
1317146220,853.605,1019.78177094,5.79797459849
1317146528,778.179,1013.20970826,5.17947273466
1317146820,841.617,1009.55057194,4.73754228217
1317147125,1420.05,1034.57620851,5.75194699661
1317147421,1808.17,1078.72024774,7.67155160783
1317147728,1635.84,1113.86420938,9.04517210948
1317148021,1438.03,1138.66541241,9.83297365576
1317148319,1335.13,1157.82996676,10.2995526906
1317148620,1275.19,1173.48254348,10.567203892
1317148921,1872.61,1218.47776,12.2886045235
1317149220,1593.88,1248.9220463,13.1963886122
1317149520,1323.15,1265.17001317,13.3489675249
1317149820,1874.11,1308.29853166,14.8379450732
1317150121,1407.06,1327.3326529,15.0477538814
1317150420,1875.11,1369.01688644,16.3795778644
1317150720,1874.11,1409.83214109,17.6013617037
1317151022,1875.11,1449.81732765,18.7205529467
1317151321,1875.11,1488.86648657,19.7369832452
1317151620,1789.19,1522.63279632,20.4384495707
1317151920,1591.38,1545.4866836,20.5592214559
1317152219,1476.5,1561.5686098,20.3353566933
1317152520,1732.25,1589.42126817,20.7112217771
1317152820,1417.55,1600.50336545,20.2297655522
1317153120,1228.74,1601.13347445,19.2497827247
1317153420,1112.35,1594.98159432,17.9796995817
1317153720,1063.9,1585.5082292,16.607046347
1317154020,1000.96,1572.05751177,15.1041581581
1317154320,923.537,1553.98043644,13.4450964833
1317154619,901.559,1534.13220627,11.780430151
1317154919,875.084,1512.3712046,10.1033585599
1317155220,852.107,1488.956185,8.42743965202
1317155520,1381.59,1491.59394342,8.13795559037
1317155819,1069.39,1478.21480406,7.06210084284
1317156119,930.53,1457.53955966,5.67523358057
1317156419,871.088,1433.60845358,4.19491659747
1317156720,1312.66,1431.54620167,3.88205817203
1317157019,1071.89,1417.25134685,2.97321252243
1317157318,926.534,1395.5400314,1.738986124
1317157620,871.588,1370.99446665,0.424758580188
1317157921,783.174,1342.00696397,-1.04585448289
1317158219,754.203,1311.62320401,-2.5127497566
1317158519,680.275,1277.66868154,-4.08483839224
1317158818,568.884,1238.34885099,-5.84658800011
1317159120,658.796,1203.81694984,-7.28085365759
1317159419,586.866,1166.05259138,-8.80502889805
1317159718,515.436,1125.15698435,-10.4095578042
1317160020,603.35,1089.17755522,-11.6880513706
1317160319,614.839,1054.35697866,-12.8446776302
1317160618,672.283,1023.05083598,-13.7677508828
1317160919,563.889,987.01338084,-14.8812360956
1317161219,506.944,948.872737507,-16.0442064574
1317161518,477.973,910.085754497,-17.181345285
1317161819,478.972,872.207788751,-18.2161763081
1317162119,479.971,835.290581821,-19.1512278392
1317162418,480.47,799.355886283,-19.9904012241
1317162718,479.971,764.395760806,-20.7388874368
1317163021,516.935,732.3207797,-21.3056921202
1317163321,538.414,702.385033201,-21.7371948392
1317163619,487.963,671.013596444,-22.2189069351
1317163918,486.964,640.703155034,-22.6234836588
1317164219,776.181,625.984737806,-22.2282303373
1317164517,661.293,606.633332095,-22.0843891059
1317164818,657.297,588.18634584,-21.9025189634
1317165118,559.393,565.939285533,-21.9197460306
1317165418,636.817,548.659412527,-21.6877523794
1317165718,1100.86,555.66607714,-20.2530315297
1317166017,839.12,550.59839333,-19.4937641438
1317166319,835.124,546.305597727,-18.7337157167
1317166619,836.622,543.02438791,-17.9610904217
1317166918,799.159,538.768082614,-17.2758511655
1317167217,876.583,539.246769876,-16.3881242441
1317167518,1333.14,563.37271335,-14.3624208582
1317167816,1136.33,578.376277867,-12.8941215894
1317168119,1023.94,588.405048464,-11.7479769801
1317168418,1608.87,628.26771791,-9.16744465879
1317168716,1271.7,651.730259588,-7.53594534192
1317169018,1178.29,670.899098534,-6.20070612754
1317169318,1143.32,688.629472786,-5.00415210855
1317169618,1066.4,702.764054644,-4.04721541025
1317169916,1020.94,714.827997272,-3.24165750833
1317170217,1034.93,727.753522775,-2.43329835774
1317170517,989.972,738.552813197,-1.77166891878
1317170818,1001.96,750.040087064,-1.10872177948
1317171117,975.486,760.25909702,-0.542335192691
1317171417,1163.8,779.920923736,0.46787290274
1317171717,1076.39,795.188856807,1.20787591114
1317172017,995.467,806.350246082,1.70555157935
1317172318,974.487,816.377357779,2.12162958519
1317172617,958.503,825.499187996,2.47163961678
1317172919,939.022,833.523386232,2.74926754775
1317173216,907.053,839.811671091,2.9262184133
1317173517,942.019,847.701945029,3.17442118954
1317173818,902.058,853.435447907,3.302375274
1317174117,907.053,859.253582022,3.42816321605
1317174417,880.579,863.576607976,3.47290635295
1317174716,1000.96,873.745038613,3.80768256713
1317175016,986.975,883.023835121,4.08123826418
1317175317,1510.46,918.272819716,5.63962558071
1317175617,1218.25,938.629323032,6.37546946747
1317175916,1187.28,957.118552874,6.98115748622
1317176217,1175.29,974.659224842,7.50913321032
1317176516,1123.34,989.22694015,7.86206231519
1317176817,1058.9,1000.17955234,8.01658980903
1317177116,1001.96,1007.88433504,8.00099945365
1317177417,954.007,1012.79141777,7.84630361741
1317177716,962.499,1017.73078532,7.70095681393
1317178016,908.552,1019.58775503,7.4087574586
1317178315,907.053,1020.99933686,7.10889867738
1317178616,855.604,1019.48302376,6.67763808853
1317178915,851.607,1017.43297876,6.24125393391
1317179216,855.104,1015.24572106,5.81982835218
1317179516,827.131,1011.36882194,5.33499197865
1317179816,1045.92,1018.16462322,5.40803244386
1317180116,1225.74,1033.68102288,5.91345080469
1317180416,1101.36,1042.68275,6.06786462048
1317180716,1053.41,1048.98358389,6.07951308392
1317181019,954.007,1050.01029213,5.82687284148
1317181315,916.544,1048.87250672,5.47863992906
1317181615,888.571,1046.06213932,5.06418956243
1317181915,915.045,1044.32226244,4.72398624023
1317182216,858.101,1039.49898624,4.24662311854
1317182516,816.642,1032.39042889,3.67886409514
1317182815,764.193,1022.47547834,2.99917336268
1317183115,795.163,1013.95906912,2.42339423342
1317183415,749.208,1003.02374018,1.75545807505
1317184016,787.17,993.898738344,1.21143507941
1317184315,798.659,985.287614752,0.72030714585
1317184615,754.203,974.417675803,0.140794841105
1317184916,795.163,965.588697112,-0.307693835506
1317185215,799.159,956.974903113,-0.722998843697
1317185515,994.967,958.187659056,-0.626211104369
1317185815,945.516,956.959175554,-0.656324724247
1317186115,882.577,952.616558288,-0.840639351321
1317186417,837.122,946.04322299,-1.12727414866
1317186715,1390.58,967.199151399,-0.0131140207648
1317187015,1066.9,972.171735509,0.23617088579
1317187316,977.984,972.686711075,0.250111119802
1317187615,975.486,973.064281085,0.256484064314
1317187914,877.582,968.533826892,0.0171371514394
1317188215,843.615,962.304165842,-0.29520275867
1317188515,835.623,955.689664929,-0.611167666377
1317188814,818.64,948.256572399,-0.952263909533
1317189114,825.133,941.195743065,-1.25769218076
1317189414,1131.83,949.53264834,-0.777962307968
1317189715,1021.44,952.388951731,-0.596249023049
1317190015,937.523,951.079217572,-0.631923279818
1317190615,858.601,945.854979578,-0.861539015548
1317190914,846.113,940.049418534,-1.10874011695
1317191214,845.114,934.249344496,-1.343306813
1317191515,821.137,927.317585799,-1.62272940721
1317191814,801.656,919.492913572,-1.93282654818
1317192114,1019.94,922.679082673,-1.67687676575
1317192414,1039.92,926.948095612,-1.37958228051
1317192714,1314.65,945.022587665,-0.406878563842
1317193014,1188.28,956.798923646,0.202282163406
1317193314,1096.37,963.969645519,0.550704148883
1317193614,975.486,965.068632184,0.578118274714
1317193914,969.992,965.864012936,0.588981398566
1317194214,1043.42,970.301344618,0.78139891273
1317194514,1143.82,979.719606354,1.2132420539
1317194813,1052.41,984.506705988,1.39193493288
1317195114,997.465,986.476958874,1.42085083058
1317195414,962.999,986.65286922,1.35860380632
1317195714,896.064,983.414099375,1.12873512375
1317196012,831.127,976.872042774,0.745195537507
1317196314,820.138,969.743276396,0.35149744173
1317196614,795.163,961.348185145,-0.0858319928637
1317196914,799.159,953.157185495,-0.491090375745
1317197213,784.673,944.266440363,-0.911073113543
1317197513,777.18,935.046598887,-1.32651153167
1317197813,758.199,924.944032988,-1.76531425006
1317198113,750.706,914.555082801,-2.1964960469
1317198414,748.208,904.151057416,-2.60687251379
1317198716,769.188,894.926375657,-2.93776297604
1317199016,1338.63,914.320682047,-1.82115950774
1317199314,1130.83,923.416046413,-1.27533331409
1317199616,1038.92,927.979677443,-0.983385096839
1317199914,936.524,927.472677729,-0.959565827706
1317200216,922.538,926.314356307,-0.96950360746
1317200513,860.599,922.107560064,-1.13136823921
1317200813,856.603,917.757532234,-1.29230121877
1317201113,838.121,912.548019464,-1.48816179631
1317201412,795.662,905.289964784,-1.77665644048
1317201711,782.175,897.446392927,-2.08000221134
1317202012,771.686,889.18237118,-2.38920318813
1317202312,754.203,880.163659592,-2.7206786081
1317202612,777.68,872.454831935,-2.97008606056
1317202912,746.21,863.32100858,-3.27827292525
1317203213,764.692,855.275198872,-3.51664976439
