DATE(time)	nodeId	type	count(*)
2012-01-10	8258	8	288
2012-01-10	8258	13	288
2012-01-10	8259	0	288
2012-01-10	8259	2	288
2012-01-10	8259	8	288
2012-01-10	8259	13	288
2012-01-10	8417	0	287
2012-01-10	8417	2	287
2012-01-10	8417	8	287
2012-01-10	8417	13	287
2012-01-10	8419	0	286
2012-01-10	8419	2	286
2012-01-10	8419	8	286
2012-01-10	8419	13	286
2012-01-10	12448	0	286
2012-01-10	12448	2	286
2012-01-10	12448	8	286
2012-01-10	12448	9	286
2012-01-10	12448	10	286
2012-01-10	12448	13	286
2012-01-11	69	0	288
2012-01-11	69	2	288
2012-01-11	69	6	288
2012-01-11	69	13	288
2012-01-11	70	0	288
2012-01-11	70	2	288
2012-01-11	70	6	288
2012-01-11	70	13	288
2012-01-11	71	0	287
2012-01-11	71	2	287
2012-01-11	71	6	287
2012-01-11	71	13	287
2012-01-11	133	2	288
2012-01-11	133	6	288
2012-01-11	133	13	288
2012-01-11	134	0	288
2012-01-11	134	2	288
2012-01-11	134	6	288
2012-01-11	134	13	288
2012-01-11	136	0	113
2012-01-11	136	2	288
2012-01-11	136	6	288
2012-01-11	136	13	288
2012-01-11	165	0	288
2012-01-11	165	2	288
2012-01-11	165	6	288
2012-01-11	165	13	288
2012-01-11	166	0	288
2012-01-11	166	2	288
2012-01-11	166	6	288
2012-01-11	166	13	288
2012-01-11	167	0	288
2012-01-11	167	2	288
2012-01-11	167	6	288
2012-01-11	167	13	288
2012-01-11	168	0	288
2012-01-11	168	2	288
2012-01-11	168	6	288
2012-01-11	168	13	288
2012-01-11	197	0	288
2012-01-11	197	2	288
2012-01-11	197	6	288
2012-01-11	197	13	288
2012-01-11	198	0	288
2012-01-11	198	2	288
2012-01-11	198	6	288
2012-01-11	198	13	288
2012-01-11	199	0	288
2012-01-11	199	2	288
2012-01-11	199	6	288
2012-01-11	199	13	288
2012-01-11	200	0	287
2012-01-11	200	2	287
2012-01-11	200	6	287
2012-01-11	200	13	287
2012-01-11	229	0	288
2012-01-11	229	2	288
2012-01-11	229	6	288
2012-01-11	229	13	288
2012-01-11	230	0	286
2012-01-11	230	2	286
2012-01-11	230	6	286
2012-01-11	230	13	286
2012-01-11	231	0	288
2012-01-11	231	2	288
2012-01-11	231	6	288
2012-01-11	231	13	288
2012-01-11	232	0	288
2012-01-11	232	2	288
2012-01-11	232	6	288
2012-01-11	232	13	288
2012-01-11	8257	0	288
2012-01-11	8257	2	288
2012-01-11	8257	8	288
2012-01-11	8257	13	288
2012-01-11	8258	0	286
2012-01-11	8258	2	286
2012-01-11	8258	8	286
2012-01-11	8258	13	286
2012-01-11	8259	0	288
2012-01-11	8259	2	288
2012-01-11	8259	8	288
2012-01-11	8259	13	288
2012-01-11	8417	0	288
2012-01-11	8417	2	288
2012-01-11	8417	8	288
2012-01-11	8417	13	288
2012-01-11	8419	0	288
2012-01-11	8419	2	288
2012-01-11	8419	8	288
2012-01-11	8419	13	288
2012-01-11	12448	0	288
2012-01-11	12448	2	288
2012-01-11	12448	8	288
2012-01-11	12448	9	288
2012-01-11	12448	10	288
2012-01-11	12448	13	288
2012-01-12	69	0	286
2012-01-12	69	2	286
2012-01-12	69	6	286
2012-01-12	69	13	286
2012-01-12	70	0	285
2012-01-12	70	2	285
2012-01-12	70	6	285
2012-01-12	70	13	285
2012-01-12	71	0	288
2012-01-12	71	2	288
2012-01-12	71	6	288
2012-01-12	71	13	288
2012-01-12	133	2	288
2012-01-12	133	6	288
2012-01-12	133	13	288
2012-01-12	134	0	288
2012-01-12	134	2	288
2012-01-12	134	6	288
2012-01-12	134	13	288
2012-01-12	136	0	64
2012-01-12	136	2	288
2012-01-12	136	6	288
2012-01-12	136	13	288
2012-01-12	165	0	288
2012-01-12	165	2	288
2012-01-12	165	6	288
2012-01-12	165	13	288
2012-01-12	166	0	288
2012-01-12	166	2	288
2012-01-12	166	6	288
2012-01-12	166	13	288
2012-01-12	167	0	288
2012-01-12	167	2	288
2012-01-12	167	6	288
2012-01-12	167	13	288
2012-01-12	168	0	288
2012-01-12	168	2	288
2012-01-12	168	6	288
2012-01-12	168	13	288
2012-01-12	197	0	288
2012-01-12	197	2	288
2012-01-12	197	6	288
2012-01-12	197	13	288
2012-01-12	198	0	288
2012-01-12	198	2	288
2012-01-12	198	6	288
2012-01-12	198	13	288
2012-01-12	199	0	288
2012-01-12	199	2	288
2012-01-12	199	6	288
2012-01-12	199	13	288
2012-01-12	200	0	288
2012-01-12	200	2	288
2012-01-12	200	6	288
2012-01-12	200	13	288
2012-01-12	229	0	287
2012-01-12	229	2	287
2012-01-12	229	6	287
2012-01-12	229	13	287
2012-01-12	230	0	288
2012-01-12	230	2	288
2012-01-12	230	6	288
2012-01-12	230	13	288
2012-01-12	231	0	288
2012-01-12	231	2	288
2012-01-12	231	6	288
2012-01-12	231	13	288
2012-01-12	232	0	288
2012-01-12	232	2	288
2012-01-12	232	6	288
2012-01-12	232	13	288
2012-01-12	8257	0	288
2012-01-12	8257	2	288
2012-01-12	8257	8	288
2012-01-12	8257	13	288
2012-01-12	8258	0	288
2012-01-12	8258	2	288
2012-01-12	8258	8	288
2012-01-12	8258	13	288
2012-01-12	8259	0	287
2012-01-12	8259	2	287
2012-01-12	8259	8	287
2012-01-12	8259	13	287
2012-01-12	8417	0	288
2012-01-12	8417	2	288
2012-01-12	8417	8	288
2012-01-12	8417	13	288
2012-01-12	8419	0	288
2012-01-12	8419	2	288
2012-01-12	8419	8	288
2012-01-12	8419	13	288
2012-01-12	12448	0	288
2012-01-12	12448	2	288
2012-01-12	12448	8	288
2012-01-12	12448	9	288
2012-01-12	12448	10	288
2012-01-12	12448	13	288
2012-01-13	69	0	126
2012-01-13	69	2	126
2012-01-13	69	6	126
2012-01-13	69	13	126
2012-01-13	70	0	125
2012-01-13	70	2	125
2012-01-13	70	6	125
2012-01-13	70	13	125
2012-01-13	71	0	127
2012-01-13	71	2	127
2012-01-13	71	6	127
2012-01-13	71	13	127
2012-01-13	133	2	138
2012-01-13	133	6	139
2012-01-13	133	13	139
2012-01-13	134	0	126
2012-01-13	134	2	126
2012-01-13	134	6	126
2012-01-13	134	13	126
2012-01-13	136	2	136
2012-01-13	136	6	139
2012-01-13	136	13	139
2012-01-13	165	0	130
2012-01-13	165	2	130
2012-01-13	165	6	130
2012-01-13	165	13	130
2012-01-13	166	0	130
2012-01-13	166	2	130
2012-01-13	166	6	130
2012-01-13	166	13	130
2012-01-13	167	0	132
2012-01-13	167	2	132
2012-01-13	167	6	132
2012-01-13	167	13	132
2012-01-13	168	0	131
2012-01-13	168	2	131
2012-01-13	168	6	131
2012-01-13	168	13	131
2012-01-13	197	0	134
2012-01-13	197	2	134
2012-01-13	197	6	134
2012-01-13	197	13	134
2012-01-13	198	0	135
2012-01-13	198	2	135
2012-01-13	198	6	135
2012-01-13	198	13	135
2012-01-13	199	0	134
2012-01-13	199	2	134
2012-01-13	199	6	134
2012-01-13	199	13	134
2012-01-13	200	0	130
2012-01-13	200	2	130
2012-01-13	200	6	130
2012-01-13	200	13	130
2012-01-13	229	0	131
2012-01-13	229	2	131
2012-01-13	229	6	131
2012-01-13	229	13	131
2012-01-13	230	0	134
2012-01-13	230	2	134
2012-01-13	230	6	134
2012-01-13	230	13	134
2012-01-13	231	0	136
2012-01-13	231	2	136
2012-01-13	231	6	136
2012-01-13	231	13	136
2012-01-13	232	0	132
2012-01-13	232	2	132
2012-01-13	232	6	132
2012-01-13	232	13	132
2012-01-13	4228	0	7
2012-01-13	4228	2	7
2012-01-13	4228	13	7
2012-01-13	4260	0	3
2012-01-13	4260	2	3
2012-01-13	4260	11	1
2012-01-13	4260	13	3
2012-01-13	4324	0	4
2012-01-13	4324	2	4
2012-01-13	4324	13	4
2012-01-13	8257	0	122
2012-01-13	8257	2	122
2012-01-13	8257	8	122
2012-01-13	8257	13	122
2012-01-13	8258	0	123
2012-01-13	8258	2	123
2012-01-13	8258	8	123
2012-01-13	8258	13	123
2012-01-13	8259	0	122
2012-01-13	8259	2	122
2012-01-13	8259	8	122
2012-01-13	8259	13	122
2012-01-13	8354	0	2
2012-01-13	8354	2	2
2012-01-13	8354	8	2
2012-01-13	8354	13	2
2012-01-13	8355	0	2
2012-01-13	8355	2	2
2012-01-13	8355	8	2
2012-01-13	8355	13	2
2012-01-13	8417	0	126
2012-01-13	8417	2	126
2012-01-13	8417	8	126
2012-01-13	8417	13	126
2012-01-13	8418	0	4
2012-01-13	8418	2	4
2012-01-13	8418	8	4
2012-01-13	8418	13	4
2012-01-13	8419	0	125
2012-01-13	8419	2	125
2012-01-13	8419	8	125
2012-01-13	8419	13	125
2012-01-13	12416	0	9
2012-01-13	12416	2	9
2012-01-13	12416	8	9
2012-01-13	12416	9	9
2012-01-13	12416	10	9
2012-01-13	12416	13	9
2012-01-13	12448	0	125
2012-01-13	12448	2	125
2012-01-13	12448	8	125
2012-01-13	12448	9	125
2012-01-13	12448	10	125
2012-01-13	12448	13	125
2012-01-13	12480	0	1
2012-01-13	12480	2	1
2012-01-13	12480	8	1
2012-01-13	12480	9	1
2012-01-13	12480	10	1
2012-01-13	12480	13	1
2012-01-13	12512	0	7
2012-01-13	12512	2	7
2012-01-13	12512	8	7
2012-01-13	12512	9	7
2012-01-13	12512	10	7
2012-01-13	12512	13	7
2012-01-14	133	2	1
2012-01-14	133	6	1
2012-01-14	133	13	1
2012-01-14	136	2	2
2012-01-14	136	6	2
2012-01-14	136	13	2
2012-01-15	12416	0	1
2012-01-15	12416	2	1
2012-01-15	12416	8	1
